instance,n,fcfs_gap_pct,sjf_gap_pct,hrrn_gap_pct
421,7,22.5806,1.6129,3.2258
422,5,13.3333,0.0000,13.3333
423,9,65.9864,27.8912,27.8912
424,9,17.6245,0.0000,6.8966
425,8,23.0769,2.8846,5.7692
426,6,35.2381,0.0000,14.2857
427,7,22.3602,0.0000,5.5901
428,5,0.0000,0.0000,0.0000
429,10,59.9251,0.0000,4.4944
430,6,23.0769,0.0000,6.5934
431,9,44.3750,1.2500,5.6250
432,5,4.2105,0.0000,4.2105
433,6,18.8679,1.8868,18.8679
434,5,26.6667,8.8889,17.7778
435,10,20.1220,0.0000,3.6585
436,7,19.5122,4.8780,4.8780
437,9,15.6740,0.0000,5.3292
438,10,16.9492,0.0000,7.4576
439,9,42.7632,0.0000,11.1842
440,10,32.1656,0.0000,12.1019
441,7,9.1603,0.0000,7.6336
442,4,0.0000,0.0000,0.0000
443,9,32.0000,0.0000,8.0000
444,5,27.5000,10.0000,27.5000
445,4,15.9420,0.0000,15.9420
446,7,20.3704,0.0000,20.3704
447,5,18.1818,18.1818,18.1818
448,4,0.0000,0.0000,0.0000
449,7,16.6667,5.7471,9.1954
450,10,28.6432,0.0000,6.0302
451,9,22.1239,0.0000,11.0619
452,7,21.5054,5.3763,5.3763
453,7,14.7826,11.3043,12.1739
454,6,17.8082,0.0000,6.8493
455,10,46.0526,18.8596,25.8772
456,8,3.3058,0.0000,0.8264
457,4,0.0000,0.0000,0.0000
458,5,0.0000,0.0000,0.0000
459,9,31.3480,0.0000,13.7931
460,6,7.4074,7.4074,7.4074
461,10,35.7895,13.6842,18.9474
462,8,18.8235,7.0588,9.4118
463,8,24.5283,12.5786,12.5786
464,8,10.7143,0.0000,4.4643
465,10,22.6054,0.0000,8.0460
466,6,16.6667,0.0000,0.0000
467,5,0.0000,0.0000,0.0000
468,8,4.8673,2.2124,4.8673
469,6,34.4444,0.0000,0.0000
470,6,3.7736,0.0000,3.7736
471,10,26.0870,0.0000,7.4534
472,5,29.0698,8.1395,16.2791
473,4,0.0000,0.0000,0.0000
474,9,35.4086,0.0000,3.8911
475,9,13.8973,0.0000,5.4381
476,5,0.0000,0.0000,0.0000
477,5,41.9753,0.0000,19.7531
478,9,13.0435,0.0000,2.6087
479,8,31.5789,0.0000,4.6784
480,4,0.0000,0.0000,0.0000
481,9,23.9024,0.0000,1.9512
482,4,0.0000,0.0000,0.0000
483,9,39.5918,4.4898,15.5102
484,4,12.5000,12.5000,12.5000
485,9,22.9665,0.0000,8.6124
486,10,61.3445,0.0000,13.0252
487,7,21.5054,12.9032,19.3548
488,6,0.0000,0.0000,0.0000
489,8,14.0625,0.0000,3.1250
490,10,46.5306,0.4082,4.4898
491,6,17.4825,4.8951,10.4895
492,5,0.0000,0.0000,0.0000
493,10,21.1538,0.0000,2.3077
494,7,18.6667,0.0000,4.0000
495,7,30.0752,0.0000,25.5639
496,8,17.8947,0.0000,6.3158
497,7,10.9890,0.0000,2.1978
498,6,29.0000,5.0000,7.0000
499,5,10.0000,0.0000,0.0000
500,8,27.5000,1.2500,4.3750
501,8,40.3226,37.0968,40.3226
502,4,13.0435,13.0435,13.0435
503,9,77.3723,1.4599,35.7664
504,9,21.0714,0.0000,3.9286
505,7,3.5503,0.0000,1.1834
506,8,8.4746,0.0000,0.5650
507,6,9.2105,0.0000,0.0000
508,9,23.0769,0.0000,7.6923
509,10,10.4575,0.0000,1.9608
510,4,18.6441,0.0000,0.0000
511,9,35.3933,1.6854,14.0449
512,7,7.3684,0.0000,7.3684
513,8,26.3158,2.2556,7.5188
514,9,11.3636,7.7273,8.6364
515,4,19.4444,0.0000,19.4444
516,6,12.5000,12.5000,12.5000
517,9,33.6000,6.8000,7.6000
518,10,20.5405,0.0000,5.6757
519,7,15.6250,0.0000,2.5000
520,6,16.5563,0.0000,14.5695
521,4,0.0000,0.0000,0.0000
522,9,44.0000,0.0000,28.0000
523,6,12.9496,0.0000,12.2302
524,5,0.0000,0.0000,0.0000
525,10,35.0000,3.0769,11.1538
526,8,10.7981,0.0000,7.5117
527,4,0.0000,0.0000,0.0000
528,9,22.8261,0.0000,9.7826
529,8,60.0000,0.0000,4.2424
530,8,29.4574,5.4264,10.8527
531,5,21.2766,0.0000,10.6383
532,9,9.3023,0.0000,5.0388
533,10,49.0654,0.0000,28.0374
534,5,11.1111,4.4444,11.1111
535,4,8.3333,0.0000,0.0000
536,6,2.6549,0.0000,2.6549
537,5,15.7143,0.0000,15.7143
538,7,29.7297,0.0000,22.9730
539,7,34.3511,2.2901,2.2901
540,6,0.0000,0.0000,0.0000
541,8,5.1502,0.0000,2.5751
542,10,38.3142,0.0000,6.8966
543,8,27.1186,4.5198,17.5141
544,7,23.3333,0.0000,3.3333
545,5,0.0000,0.0000,0.0000
546,4,0.0000,0.0000,0.0000
547,6,64.5833,64.5833,64.5833
548,7,30.9524,0.0000,9.5238
549,10,11.7329,0.0000,4.5126
550,4,0.0000,0.0000,0.0000
551,5,0.0000,0.0000,0.0000
552,7,38.0952,5.7143,20.0000
553,10,20.0855,0.0000,2.1368
554,6,15.7480,9.4488,11.8110
555,10,20.0599,0.0000,7.1856
556,5,20.8333,0.0000,2.7778
557,5,0.0000,0.0000,0.0000
558,7,21.0526,0.0000,11.5789
559,4,8.3333,8.3333,8.3333
560,6,19.4245,0.0000,3.5971
561,4,0.0000,0.0000,0.0000
562,7,32.9341,1.7964,12.5749
563,10,25.2252,1.5015,14.4144
564,6,18.3007,0.0000,0.6536
565,6,30.7692,0.0000,19.7802
566,5,20.7792,0.0000,1.2987
567,5,0.0000,0.0000,0.0000
568,7,26.9461,0.0000,14.9701
569,10,19.0265,2.6549,7.5221
570,9,16.2011,1.1173,4.4693
571,8,61.8182,3.6364,20.0000
572,7,11.6505,2.9126,4.8544
573,9,40.1235,1.2346,8.6420
574,8,23.8372,0.0000,2.3256
575,6,31.0000,0.0000,6.0000
576,8,24.5614,1.7544,17.5439
577,4,4.1096,4.1096,4.1096
578,6,8.1081,0.0000,0.9009
579,6,11.8421,0.0000,0.0000
580,5,28.0000,0.0000,28.0000
581,7,11.3208,0.0000,0.0000
582,5,0.0000,0.0000,0.0000
583,4,1.1765,0.0000,1.1765
584,6,32.7586,0.0000,27.5862
585,10,8.1081,0.0000,3.0030
586,6,5.0633,0.0000,5.0633
587,10,30.7278,0.2695,3.7736
588,10,22.0183,0.0000,2.7523
589,10,38.2609,0.0000,7.8261
590,5,21.7391,0.0000,4.3478
591,8,7.9545,1.7045,2.8409
592,8,14.3836,0.0000,4.7945
593,10,45.7143,15.4286,18.2857
594,7,8.0460,4.5977,8.0460
595,6,1.6260,0.0000,0.0000
596,5,0.0000,0.0000,0.0000
597,8,26.3441,2.6882,4.8387
598,7,22.8346,0.0000,6.2992
599,8,17.3611,0.0000,4.1667
600,5,8.9286,0.0000,8.9286
601,4,1.3889,1.3889,1.3889
602,9,42.4837,0.0000,6.5359
603,5,64.2857,60.7143,60.7143
604,8,59.4444,0.0000,20.5556
605,4,29.1667,2.0833,14.5833
606,9,13.4078,0.0000,4.4693
607,5,6.9767,6.9767,6.9767
608,5,29.4872,14.1026,20.5128
609,9,39.2265,8.2873,10.4972
610,7,34.7305,2.3952,12.5749
611,9,18.7500,2.8409,6.8182
612,10,43.2540,0.0000,7.9365
613,6,19.8276,12.0690,12.0690
614,7,20.0957,0.0000,10.5263
615,4,0.0000,0.0000,0.0000
616,10,32.4561,0.0000,10.9649
617,6,36.7816,13.7931,20.6897
618,8,35.9375,0.0000,10.9375
619,8,32.6087,0.0000,13.0435
620,7,26.8456,0.0000,5.3691
621,5,10.2564,10.2564,10.2564
622,5,2.1053,0.0000,2.1053
623,4,5.9701,2.9851,5.9701
624,8,17.8862,0.0000,6.5041
625,7,7.4468,0.0000,1.0638
626,7,21.4876,0.0000,14.0496
627,10,44.3709,0.0000,27.1523
628,7,21.1268,2.8169,8.4507
629,9,37.9562,0.0000,13.8686
630,4,2.0833,0.0000,2.0833
631,9,22.2772,0.9901,5.4455
632,8,12.2363,0.0000,5.9072
633,8,7.0755,0.0000,5.6604
634,5,35.1852,1.8519,27.7778
635,7,12.0690,0.0000,4.3103
636,10,14.3229,0.0000,2.8646
637,5,0.0000,0.0000,0.0000
638,6,26.8657,2.9851,10.4478
639,5,5.8824,0.0000,0.0000
640,6,0.0000,0.0000,0.0000
641,10,18.1287,2.9240,4.6784
642,10,35.8566,0.0000,13.1474
643,7,10.0000,0.0000,1.2500
644,8,17.5966,0.0000,13.3047
645,8,18.0851,0.0000,11.7021
646,9,27.1605,0.4115,13.9918
647,7,13.2075,0.0000,8.8050
648,7,9.3333,0.0000,2.2222
649,7,7.2289,0.0000,7.2289
